prix_ttc_eur,energie,boite_de_vitesses,couleur,type_vehicule,provenance,premiere_main,kilometrage,puissance_fiscale,puissance_reelle,portes,places,longueur,largeur,hauteur,poids,volume_coffre,air_quality_icon,ville,age_ans,marque,modele
28980,essence micro hybride,automatique,gris,berline,loueur,non,5420.0,7.0,136.0,5,5,4.367,1.859,1.441,1375.0,412.0,,chambéry,0.7392197125256673,1.2,hybrid
13499,diesel,manuelle,,berline,particulier,non,88286.0,5.0,100.0,5,5,4.05,1.798,1.44,,366.0,crit'air niveau 2,créteil,3.1813826146475015,1.5,blue
15299,essence,manuelle,noir,berline,loueur,non,24382.0,5.0,91.0,5,5,4.05,1.798,1.44,1007.0,391.0,crit'air niveau 1,arras,2.2669404517453797,1.0,tce
11480,essence,manuelle,jaune,berline,particulier,non,90699.0,5.0,102.0,5,5,4.055,1.765,1.43,1102.0,265.0,crit'air niveau 1,eybens,5.007529089664613,1.2,puretech
11499,essence,manuelle,blanc,berline,loueur,non,45000.0,4.0,83.0,5,5,3.996,1.749,1.474,980.0,300.0,crit'air niveau 1,poitiers,2.617385352498289,1.2,puretech
15299,gpl,manuelle,brun,break,particulier,non,70886.0,5.0,101.0,5,5,4.547,1.784,1.629,1223.0,842.0,crit'air niveau 1,coquelles,2.937713894592745,1.0,eco-g
19199,gpl,manuelle,,suv,particulier,non,21289.0,5.0,101.0,5,5,4.341,1.804,,1230.0,478.0,crit'air niveau 1,vitrolles,2.1574264202600957,1.0,eco-g
25980,,manuelle,blanc,,importation,non,100.0,7.0,0.0,0,0,,,,,,,la ravoire,0.34770704996577684,expression,4x4
16490,diesel,automatique,noir,suv,particulier,non,85781.0,6.0,120.0,5,5,4.16,1.756,1.597,1260.0,410.0,crit'air niveau 2,besancon,4.145106091718001,bluehdi,120ch
27999,hybride,automatique,noir,suv,loueur,non,7832.0,5.0,94.0,5,5,4.343,1.921,1.616,1305.0,496.0,crit'air niveau 1,liévin,0.4490075290896646,1.6,hybrid
