prix_ttc_eur,energie,boite_de_vitesses,couleur,type_vehicule,provenance,premiere_main,kilometrage,puissance_fiscale,puissance_reelle,portes,places,longueur,largeur,hauteur,poids,volume_coffre,air_quality_icon,ville,age_ans,marque,modele
14799,essence,manuelle,gris,berline,loueur,non,29306.0,5.0,91.0,5,5,4.099,"1,848 m","1,535 m",1021.0,328.0,crit'air niveau 1,hénin-beaumont,3.0855578370978782,1.0,tce
18499,essence,manuelle,bleu,berline,particulier,oui,15726.0,5.0,91.0,5,5,4.05,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,maizières-la-grande-paroisse,1.4565366187542779,1.0,tce
13799,gpl,manuelle,blanc,berline,particulier,non,59483.0,5.0,101.0,5,5,4.099,"1,848 m","1,535 m",1079.0,328.0,crit'air niveau 1,longuenesse,3.373032169746749,1.0,eco-g
17499,essence,manuelle,gris,suv,société,non,27738.0,5.0,102.0,5,5,4.304,"1,775 m","1,55 m",1188.0,434.0,crit'air niveau 1,chambray-lès-tours,0.8706365503080082,1.2,puretech
21999,essence micro hybride,automatique,jaune,berline,loueur,non,10.0,5.0,101.0,5,5,4.055,"1,745 m","1,43 m",1175.0,352.0,,bassussarry,0.16700889801505817,1.2,hybrid
36708,electrique,automatique,noir,suv,société,non,9357.0,7.0,213.0,5,5,4.542,"1,895 m","1,641 m",2108.0,520.0,crit'air niveau 0,dizy,1.0595482546201231,electrique,210ch
23499,electrique,automatique,vert,berline,particulier,oui,6845.0,5.0,184.0,3,4,3.85,"1,727 m","1,432 m",1365.0,211.0,crit'air niveau 0,mérignac,2.2286105407255303,cooper,se
17988,essence,manuelle,bi-ton,suv,loueur,non,34049.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1107.0,536.0,crit'air niveau 1,pontarlier,1.5222450376454484,1.0,tce
20570,essence,manuelle,gris,berline,loueur,non,16932.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,valence,0.7337440109514032,1.0,tce
12580,essence,manuelle,gris,berline,particulier,oui,125600.0,7.0,131.0,5,5,4.36,"1,834 m","1,525 m",1247.0,380.0,crit'air niveau 1,reims,4.098562628336755,puretech,130ch
12580,essence,manuelle,gris,berline,loueur,non,22949.0,4.0,75.0,5,5,4.055,"1,745 m","1,43 m",980.0,265.0,crit'air niveau 1,grenoble,2.5872689938398357,1.2,puretech
17880,essence,automatique,gris,berline,loueur,non,24075.0,5.0,102.0,5,5,4.055,"1,745 m","1,43 m",1133.0,265.0,crit'air niveau 1,chambéry,2.4421629021218343,1.2,puretech
15499,essence,manuelle,gris,berline,particulier,non,10187.0,5.0,91.0,5,5,4.099,"1,848 m","1,535 m",1021.0,328.0,crit'air niveau 1,longuenesse,2.973305954825462,1.0,tce
21899,essence,manuelle,rouge,berline,loueur,non,3741.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,carvin,0.4106776180698152,1.0,tce
12738,essence,manuelle,blanc,berline,particulier,non,15700.0,4.0,83.0,5,5,3.996,"1,749 m","1,474 m",980.0,300.0,crit'air niveau 1,dizy,2.8199863107460645,1.2,essence
18999,essence micro hybride,automatique,jaune,berline,loueur,non,5600.0,5.0,100.0,5,5,4.055,"1,765 m","1,43 m",1175.0,352.0,,chambray-lès-tours,1.3086926762491444,1.2,hybrid
21499,essence micro hybride,automatique,noir,suv,loueur,non,35979.0,7.0,140.0,5,5,4.568,"1,821 m","1,571 m",1261.0,513.0,,nanteuil-les-meaux,1.51129363449692,1.3,tce
13990,essence,manuelle,bleu,berline,particulier,non,44445.0,5.0,91.0,5,5,4.099,"1,848 m","1,535 m",1021.0,328.0,crit'air niveau 1,vénissieux,3.6577686516084875,1.0,tce
22999,essence,manuelle,gris,suv,loueur,non,3022.0,5.0,91.0,5,5,4.239,"1,797 m","1,575 m",1143.0,536.0,crit'air niveau 1,loison-sous-lens,0.36960985626283366,1.0,tce
17499,essence,manuelle,bi-ton,suv,,non,24775.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1107.0,536.0,crit'air niveau 1,saint-alban-leysse,1.8069815195071868,1.0,tce
12480,diesel,manuelle,noir,berline,,non,77694.0,5.0,102.0,5,5,3.996,"1,749 m","1,474 m",1090.0,300.0,crit'air niveau 2,eybens,3.3374401095140316,1.5,bluehdi
16799,essence,automatique,gris,berline,société,non,69968.0,7.0,140.0,5,5,4.359,"1,814 m","1,447 m",1242.0,473.0,crit'air niveau 1,rezé,4.369609856262834,1.3,tce
18799,essence micro hybride,automatique,jaune,berline,loueur,non,17147.0,5.0,100.0,5,5,4.055,"1,765 m","1,43 m",1175.0,352.0,,chambray-lès-tours,1.3086926762491444,1.2,hybrid
12499,essence,manuelle,gris,berline,société,oui,37546.0,4.0,75.0,5,5,4.055,"1,745 m","1,43 m",980.0,265.0,crit'air niveau 1,champniers,2.642026009582478,1.2,puretech
12780,essence,manuelle,blanc,berline,loueur,oui,12100.0,4.0,83.0,5,5,3.996,"1,749 m","1,474 m",980.0,300.0,crit'air niveau 1,reims,2.3764544832306638,1.2,puretech
33648,essence micro hybride,automatique,noir,suv,,non,8825.0,7.0,136.0,5,5,4.5,"1,969 m","1,689 m",1531.0,720.0,,eybens,0.5749486652977412,1.2,hybride
14299,essence,manuelle,gris,suv,loueur,non,55398.0,5.0,102.0,5,5,4.3,"1,77 m","1,55 m",1192.0,405.0,crit'air niveau 1,avignon,3.164955509924709,1.2,puretech
29999,hybride,automatique,rouge,suv,loueur,non,4543.0,5.0,94.0,5,5,4.568,"1,82 m","1,571 m",1360.0,480.0,crit'air niveau 1,mexy,0.27104722792607805,1.6,e-tech
17499,diesel,manuelle,gris,berline,société,oui,14146.0,5.0,100.0,5,5,4.05,"1,798 m","1,44 m",1173.0,366.0,crit'air niveau 2,villemomble,2.3846680355920604,1.5,blue
29299,hybride,automatique,noir,suv,loueur,non,3167.0,5.0,94.0,5,5,4.343,"1,921 m","1,616 m",1305.0,496.0,crit'air niveau 1,dunkerque,0.36960985626283366,1.6,hybrid
36280,electrique,automatique,blanc,suv,particulier,oui,23700.0,7.0,210.0,5,5,4.542,"1,895 m","1,641 m",2108.0,520.0,crit'air niveau 0,reims,1.4154688569472964,electrique,210ch
18999,essence micro hybride,automatique,jaune,berline,société,non,8366.0,5.0,100.0,5,5,4.055,"1,765 m","1,43 m",1175.0,352.0,,chinon,1.3826146475017111,1.2,hybrid
16799,diesel,manuelle,orange,berline,auto-école,non,39054.0,5.0,100.0,5,5,4.053,"1,798 m","1,44 m",1173.0,366.0,crit'air niveau 2,longuenesse,1.5906913073237507,1.5,blue
16999,gpl,manuelle,gris,suv,particulier,oui,43400.0,5.0,101.0,5,5,4.341,"1,804 m",,1230.0,478.0,crit'air niveau 1,sequedin,2.7789185489390826,1.0,eco-g
18299,essence,manuelle,gris,berline,société,non,10873.0,5.0,102.0,5,5,4.055,"1,745 m","1,43 m",1090.0,352.0,crit'air niveau 1,chambray-lès-tours,0.8076659822039699,1.2,100ch
35678,essence micro hybride,automatique,noir,suv,loueur,non,5.0,7.0,136.0,5,5,4.542,"1,934 m","1,641 m",1573.0,520.0,,bourg-en-bresse,0.4188911704312115,1.2,hybrid
19899,essence micro hybride,automatique,rouge,berline,loueur,non,23464.0,5.0,100.0,5,5,4.055,"1,765 m","1,43 m",1175.0,352.0,,grenoble,1.5003422313483916,1.2,hybrid
9680,essence,manuelle,gris,suv,particulier,non,87899.0,5.0,110.0,5,5,4.154,"1,74 m","1,597 m",1159.0,410.0,crit'air niveau 1,bourg-en-bresse,7.241615331964408,puretech,110ch
18499,essence,manuelle,vert,berline,loueur,oui,13861.0,6.0,110.0,5,5,4.099,"1,848 m","1,535 m",1031.0,328.0,crit'air niveau 1,loison-sous-lens,0.6543463381245722,1.0,tce
